"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AZ",0,0,1-01-01,0,0,"Cochise County, Arizona",0,0,NA,NA,"No voting data yet","04003","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Coconino County, Arizona",0,0,NA,NA,"No voting data yet","04005","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Gila County, Arizona",0,0,NA,NA,"No voting data yet","04007","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Graham County, Arizona",0,0,NA,NA,"No voting data yet","04009","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Greenlee County, Arizona",0,0,NA,NA,"No voting data yet","04011","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"La Paz County, Arizona",0,0,NA,NA,"No voting data yet","04012","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Maricopa County, Arizona",0,0,NA,NA,"No voting data yet","04013","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Mohave County, Arizona",0,0,NA,NA,"No voting data yet","04015","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Navajo County, Arizona",0,0,NA,NA,"No voting data yet","04017","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Pima County, Arizona",0,0,NA,NA,"No voting data yet","04019","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Pinal County, Arizona",0,0,NA,NA,"No voting data yet","04021","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Santa Cruz County, Arizona",0,0,NA,NA,"No voting data yet","04023","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Yavapai County, Arizona",0,0,NA,NA,"No voting data yet","04025","NA","lessThan20pctIn",NA,NA,NA,NA
"AZ",0,0,1-01-01,0,0,"Yuma County, Arizona",0,0,NA,NA,"No voting data yet","04027","NA","lessThan20pctIn",NA,NA,NA,NA
